iso_code,continent,location,date,total_cases,change,total_deaths,total_deaths_per_million
PAK,Asia,Pakistan,3/1/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/2/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/3/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/4/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/5/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/6/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/7/2020,2,0.008,0,0
PAK,Asia,Pakistan,3/8/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/9/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/10/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/11/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/12/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/13/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/14/2020,6,0.025,0,0
PAK,Asia,Pakistan,3/15/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/16/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/17/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/18/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/19/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/20/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/21/2020,21,0.086,0,0
PAK,Asia,Pakistan,3/22/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/23/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/24/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/25/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/26/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/27/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/28/2020,461,1.892,2,0.008
PAK,Asia,Pakistan,3/29/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,3/30/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,3/31/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,4/1/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,4/2/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,4/3/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,4/4/2020,1235,5.068,9,0.037
PAK,Asia,Pakistan,4/5/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/6/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/7/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/8/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/9/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/10/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/11/2020,2450,10.053,35,0.144
PAK,Asia,Pakistan,4/12/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/13/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/14/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/15/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/16/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/17/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/18/2020,4695,19.265,66,0.271
PAK,Asia,Pakistan,4/19/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/20/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/21/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/22/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/23/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/24/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/25/2020,7025,28.826,135,0.554
PAK,Asia,Pakistan,4/26/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,4/27/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,4/28/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,4/29/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,4/30/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,5/1/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,5/2/2020,11940,48.995,253,1.038
PAK,Asia,Pakistan,5/3/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/4/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/5/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/6/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/7/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/8/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/9/2020,17699,72.626,408,1.674
PAK,Asia,Pakistan,5/10/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/11/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/12/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/13/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/14/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/15/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/16/2020,26435,108.473,599,2.458
PAK,Asia,Pakistan,5/17/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/18/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/19/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/20/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/21/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/22/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/23/2020,37218,152.72,803,3.295
PAK,Asia,Pakistan,5/24/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/25/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/26/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/27/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/28/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/29/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/30/2020,52437,215.17,1101,4.518
PAK,Asia,Pakistan,5/31/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/1/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/2/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/3/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/4/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/5/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/6/2020,66457,272.699,1395,5.724
PAK,Asia,Pakistan,6/7/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/8/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/9/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/10/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/11/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/12/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/13/2020,93983,385.649,1935,7.94
PAK,Asia,Pakistan,6/14/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/15/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/16/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/17/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/18/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/19/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/20/2020,132405,543.31,2551,10.468
PAK,Asia,Pakistan,6/21/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/22/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/23/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/24/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/25/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/26/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/27/2020,171666,704.413,3382,13.878
PAK,Asia,Pakistan,6/28/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,6/29/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,6/30/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,7/1/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,7/2/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,7/3/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,7/4/2020,198883,816.095,4035,16.557
PAK,Asia,Pakistan,7/5/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/6/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/7/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/8/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/9/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/10/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/11/2020,225283,924.425,4619,18.954
PAK,Asia,Pakistan,7/12/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/13/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/14/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/15/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/16/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/17/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/18/2020,246351,1010.875,5123,21.022
PAK,Asia,Pakistan,7/19/2020,261917,1074.749,5522,22.659
PAK,Asia,Pakistan,7/20/2020,261917,1074.749,5522,22.659
PAK,Asia,Pakistan,7/21/2020,261917,1074.749,5522,22.659
PAK,Asia,Pakistan,7/22/2020,261917,1074.749,5522,22.659
PAK,Asia,Pakistan,7/23/2020,261917,1074.749,5522,22.659
